School,City,State,Conference,Division
University of Puerto Rico at Río Piedras,San Juan,Puerto Rico,Independent,II
University of Puerto Rico at Mayagüez,Mayagüez,Puerto Rico,Independent,II
University of Puerto Rico at Bayamón,Bayamón,Puerto Rico,Independent,II
Post University,Waterbury,Connecticut,Central Atlantic Collegiate Conference,II
Point Loma Nazarene University,San Diego,California,Pacific West Conference,II
University of Pittsburgh at Johnstown,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,II
Pittsburg State University,Pittsburg,Kansas,Mid-America Intercollegiate Athletics Association,II
Palm Beach Atlantic University,West Palm Beach,Florida,Sunshine State Conference,II
Paine College,Augusta,Georgia,Southern Intercollegiate Athletic Conference,II
Pace University,Pleasantville,New York,Northeast-10 Conference,II
Ouachita Baptist University,Arkadelphia,Arkansas,Great American Conference,II
Oklahoma Christian University,Oklahoma City,Oklahoma,Lone Star Conference,II
Oklahoma Baptist University,Shawnee,Oklahoma,Great American Conference,II
Ohio Valley University,Vienna,West Virginia,Great Midwest Athletic Conference,II
Ohio Dominican University,Columbus,Ohio,Great Midwest Athletic Conference,II
Nyack College,Nyack,New York,Central Atlantic Collegiate Conference,II
Nova Southeastern University,Davie,Florida,Sunshine State Conference,II
Notre Dame College,South Euclid,Ohio,Mountain East Conference,II
Northwood University,Midland,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Northwestern Oklahoma State University,Alva,Oklahoma,Great American Conference,II
Northwest Nazarene University,Nampa,Idaho,Great Northwest Athletic Conference,II
Northwest Missouri State University,Maryville,Missouri,Mid-America Intercollegiate Athletics Association,II
Northern State University,Aberdeen,South Dakota,Northern Sun Intercollegiate Conference,II
Northern Michigan University,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Northeastern State University,Tahlequah,Oklahoma,Mid-America Intercollegiate Athletics Association,II
North Greenville University,Tigerville,South Carolina,Conference Carolinas,II
University of North Georgia,Dahlonega,Georgia,Peach Belt Conference,II
University of North Carolina at Pembroke,Pembroke,North Carolina,Peach Belt Conference,II
Newman University,Wichita,Kansas,Mid-America Intercollegiate Athletics Association,II
Newberry College,Newberry,South Carolina,South Atlantic Conference,II
New York Institute of Technology,Old Westbury,New York,East Coast Conference,II
New Mexico Highlands University,Las Vegas,New Mexico,Rocky Mountain Athletic Conference,II
University of New Haven,West Haven,Connecticut,Northeast-10 Conference,II
University of Nebraska at Kearney,Kearney,Nebraska,Mid-America Intercollegiate Athletics Association,II
University of Mount Olive,Mount Olive,North Carolina,Conference Carolinas,II
Morehouse College,Atlanta,Georgia,Southern Intercollegiate Athletic Conference,II
University of Montevallo,Montevallo,Alabama,Gulf South Conference,II
Montana State University Billings,Billings,Montana,Great Northwest Athletic Conference,II
Molloy College,Rockville Centre,New York,East Coast Conference,II
University of Missouri–St. Louis,St. Louis,Missouri,Great Lakes Valley Conference,II
Missouri Western State University,St. Joseph,Missouri,Mid-America Intercollegiate Athletics Association,II
Missouri University of Science and Technology,Rolla,Missouri,Great Lakes Valley Conference,II
Missouri Southern State University,Joplin,Missouri,Mid-America Intercollegiate Athletics Association,II
Mississippi College,Clinton,Mississippi,Gulf South Conference,II
Minot State University,Minot,North Dakota,Northern Sun Intercollegiate Conference,II
University of Minnesota Duluth,Duluth,Minnesota,Northern Sun Intercollegiate Conference,II
University of Minnesota Crookston,Crookston,Minnesota,Northern Sun Intercollegiate Conference,II
Minnesota State University Moorhead,Moorhead,Minnesota,Northern Sun Intercollegiate Conference,II
"Minnesota State University, Mankato",Mankato,Minnesota,Northern Sun Intercollegiate Conference,II
Millersville University of Pennsylvania,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,II
Miles College,Fairfield,Alabama,Southern Intercollegiate Athletic Conference,II
Midwestern State University,Wichita Falls,Texas,Lone Star Conference,II
Michigan Technological University,Houghton,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Metropolitan State University of Denver,Denver,Colorado,Rocky Mountain Athletic Conference,II
Mercyhurst University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,II
Mercy College,Dobbs Ferry,New York,East Coast Conference,II
McKendree University,Lebanon,Illinois,Great Lakes Valley Conference,II
Maryville University,St. Louis,Missouri,Great Lakes Valley Conference,II
University of Mary,Bismarck,North Dakota,Northern Sun Intercollegiate Conference,II
Mars Hill University,Mars Hill,North Carolina,South Atlantic Conference,II
Mansfield University of Pennsylvania,Mansfield,Pennsylvania,Pennsylvania State Athletic Conference,II
Malone University,Canton,Ohio,Great Midwest Athletic Conference,II
Lynn University,Boca Raton,Florida,Sunshine State Conference,II
Lubbock Christian University,Lubbock,Texas,Lone Star Conference,II
Lock Haven University of Pennsylvania,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,II
Livingstone College,Salisbury,North Carolina,Central Intercollegiate Athletic Association,II
Lindenwood University,St. Charles,Missouri,Great Lakes Valley Conference,II
Lincoln University (PA),Chester County,Pennsylvania,Central Intercollegiate Athletic Association,II
Lincoln University (MO),Jefferson City,Missouri,Mid-America Intercollegiate Athletics Association,II
Lincoln Memorial University,Harrogate,Tennessee,South Atlantic Conference,II
Limestone University,Gaffney,South Carolina,South Atlantic Conference,II
Lewis University,Romeoville,Illinois,Great Lakes Valley Conference,II
Lenoir–Rhyne University,Hickory,North Carolina,South Atlantic Conference,II
LeMoyne–Owen College,Memphis,Tennessee,Southern Intercollegiate Athletic Conference,II
Lees–McRae College,Banner Elk,North Carolina,Conference Carolinas,II
Lee University,Cleveland,Tennessee,Gulf South Conference,II
Le Moyne College,Syracuse,New York,Northeast-10 Conference,II
Lane College,Jackson,Tennessee,Southern Intercollegiate Athletic Conference,II
Lander University,Greenwood,South Carolina,Peach Belt Conference,II
Lake Superior State University,Sault Ste. Marie,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Lake Erie College,Painesville,Ohio,Great Midwest Athletic Conference,II
Kutztown University of Pennsylvania,Kutztown,Pennsylvania,Pennsylvania State Athletic Conference,II
King University,Bristol,Tennessee,Conference Carolinas,II
Kentucky Wesleyan College,Owensboro,Kentucky,Great Midwest Athletic Conference,II
Kentucky State University,Frankfort,Kentucky,Southern Intercollegiate Athletic Conference,II
Johnson C. Smith University,Charlotte,North Carolina,Central Intercollegiate Athletic Association,II
Thomas Jefferson University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
University of Indianapolis,Indianapolis,Indiana,Great Lakes Valley Conference,II
Indiana University of Pennsylvania,Indiana,Pennsylvania,Pennsylvania State Athletic Conference,II
University of Illinois at Springfield,Springfield,Illinois,Great Lakes Valley Conference,II
Humboldt State University,Arcata,California,California Collegiate Athletic Association,II
Holy Names University,Oakland,California,Pacific West Conference,II
Holy Family University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
Hillsdale College,Hillsdale,Michigan,Great Midwest Athletic Conference,II
Henderson State University,Arkadelphia,Arkansas,Great American Conference,II
University of Hawai'i at Hilo,Hilo,Hawai'i,Pacific West Conference,II
Hawai'i Pacific University,Honolulu,Hawai'i,Pacific West Conference,II
Harding University,Searcy,Arkansas,Great American Conference,II
Grand Valley State University,Allendale,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Goldey–Beacom College,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,II
Glenville State College,Glenville,West Virginia,Mountain East Conference,II
Georgian Court University,Lakewood,New Jersey,Central Atlantic Collegiate Conference,II
Georgia Southwestern State University,Americus,Georgia,Peach Belt Conference,II
Georgia College & State University,Milledgeville,Georgia,Peach Belt Conference,II
Gannon University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,II
Fresno Pacific University,Fresno,California,Pacific West Conference,II
Franklin Pierce University,Rindge,New Hampshire,Northeast-10 Conference,II
Francis Marion University,Florence,South Carolina,Peach Belt Conference,II
Fort Valley State University,Fort Valley,Georgia,Southern Intercollegiate Athletic Conference,II
Fort Lewis College,Durango,Colorado,Rocky Mountain Athletic Conference,II
Fort Hays State University,Hays,Kansas,Mid-America Intercollegiate Athletics Association,II
Florida Institute of Technology,Melbourne,Florida,Sunshine State Conference,II
Florida Southern College,Lakeland,Florida,Sunshine State Conference,II
Flagler College,St. Augustine,Florida,Peach Belt Conference,II
University of Findlay,Findlay,Ohio,Great Midwest Athletic Conference,II
Ferris State University,Big Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Felician University,Rutherford,New Jersey,Central Atlantic Collegiate Conference,II
Fayetteville State University,Fayetteville,North Carolina,Central Intercollegiate Athletic Association,II
Fairmont State University,Fairmont,West Virginia,Mountain East Conference,II
Erskine College,Due West,South Carolina,Conference Carolinas,II
Emporia State University,Emporia,Kansas,Mid-America Intercollegiate Athletics Association,II
Emmanuel College,Franklin Springs,Georgia,Conference Carolinas,II
Embry–Riddle Aeronautical University,Daytona Beach,Florida,Sunshine State Conference,II
Elizabeth City State University,Elizabeth City,North Carolina,Central Intercollegiate Athletic Association,II
Edinboro University of Pennsylvania,Edinboro,Pennsylvania,Pennsylvania State Athletic Conference,II
Eckerd College,St. Petersburg,Florida,Sunshine State Conference,II
Eastern New Mexico University,Portales,New Mexico,Lone Star Conference,II
East Stroudsburg University of Pennsylvania,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,II
East Central University,Ada,Oklahoma,Great American Conference,II
Drury University,Springfield,Missouri,Great Lakes Valley Conference,II
Dominican College,Orangeburg,New York,Central Atlantic Collegiate Conference,II
Dominican University of California,San Rafael,California,Pacific West Conference,II
University of the District of Columbia,Washington,District of Columbia,East Coast Conference,II
Delta State University,Cleveland,Mississippi,Gulf South Conference,II
Davis & Elkins College,Elkins,West Virginia,Mountain East Conference,II
Davenport University,Grand Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Dallas Baptist University,Dallas,Texas,Lone Star Conference,II
Daemen College,Amherst,New York,East Coast Conference,II
Converse College[a],Spartanburg,South Carolina,Conference Carolinas,II
Concordia University–St. Paul,St. Paul,Minnesota,Northern Sun Intercollegiate Conference,II
Concordia University–Irvine,Irvine,California,Pacific West Conference,II
Concordia College,Bronxville,New York,Central Atlantic Collegiate Conference,II
Concord University,Athens,West Virginia,Mountain East Conference,II
Columbus State University,Columbus,Georgia,Peach Belt Conference,II
University of Colorado Colorado Springs,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,II
Colorado State University–Pueblo,Pueblo,Colorado,Rocky Mountain Athletic Conference,II
Colorado School of Mines,Golden,Colorado,Rocky Mountain Athletic Conference,II
Colorado Mesa University,Grand Junction,Colorado,Rocky Mountain Athletic Conference,II
Colorado Christian University,Lakewood,Colorado,Rocky Mountain Athletic Conference,II
Coker University,Hartsville,South Carolina,South Atlantic Conference,II
Clayton State University,Morrow,Georgia,Peach Belt Conference,II
Clark Atlanta University,Atlanta,Georgia,Southern Intercollegiate Athletic Conference,II
Clarion University of Pennsylvania,Clarion,Pennsylvania,Pennsylvania State Athletic Conference,II
Claflin University,Orangeburg,South Carolina,Central Intercollegiate Athletic Association,II
Christian Brothers University,Memphis,Tennessee,Gulf South Conference,II
Chowan University,Murfreesboro,North Carolina,Conference Carolinas,II
Chestnut Hill College,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
University of Charleston,Charleston,West Virginia,Mountain East Conference,II
Chaminade University of Honolulu,Honolulu,Hawai'i,Pacific West Conference,II
Chadron State College,Chadron,Nebraska,Rocky Mountain Athletic Conference,II
Central Washington University,Ellensburg,Washington,Great Northwest Athletic Conference,II
Central State University,Wilberforce,Ohio,Southern Intercollegiate Athletic Conference,II
University of Central Oklahoma,Edmond,Oklahoma,Mid-America Intercollegiate Athletics Association,II
University of Central Missouri,Warrensburg,Missouri,Mid-America Intercollegiate Athletics Association,II
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,II
Catawba College,Salisbury,North Carolina,South Atlantic Conference,II
Carson–Newman University,Jefferson City,Tennessee,South Atlantic Conference,II
Cameron University,Lawton,Oklahoma,Lone Star Conference,II
"California State University, Stanislaus",Turlock,California,California Collegiate Athletic Association,II
California State University San Marcos,San Marcos,California,California Collegiate Athletic Association,II
"California State University, San Bernardino",San Bernardino,California,California Collegiate Athletic Association,II
"California State University, Monterey Bay",Seaside,California,California Collegiate Athletic Association,II
"California State University, Los Angeles",Los Angeles,California,California Collegiate Athletic Association,II
"California State University, East Bay",Hayward,California,California Collegiate Athletic Association,II
"California State University, Dominguez Hills",Carson,California,California Collegiate Athletic Association,II
"California State University, Chico",Chico,California,California Collegiate Athletic Association,II
"California State Polytechnic University, Pomona",Pomona,California,California Collegiate Athletic Association,II
California University of Pennsylvania,California,Pennsylvania,Pennsylvania State Athletic Conference,II
Caldwell University,Caldwell,New Jersey,Central Atlantic Collegiate Conference,II
University of Bridgeport,Bridgeport,Connecticut,East Coast Conference,II
Bowie State University,Bowie,Maryland,Central Intercollegiate Athletic Association,II
Bluefield State College,Bluefield,West Virginia,Independent,II
Bloomsburg University of Pennsylvania,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Bloomfield College,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,II
Black Hills State University,Spearfish,South Dakota,Rocky Mountain Athletic Conference,II
Biola University,La Mirada,California,Pacific West Conference,II
Bentley University,Waltham,Massachusetts,Northeast-10 Conference,II
Benedict College,Columbia,South Carolina,Southern Intercollegiate Athletic Conference,II
Bemidji State University,Bemidji,Minnesota,Northern Sun Intercollegiate Conference,II
Belmont Abbey College,Belmont,North Carolina,Conference Carolinas,II
Barton College,Wilson,North Carolina,Conference Carolinas,II
Barry University,Miami Shores,Florida,Sunshine State Conference,II
Azusa Pacific University,Azusa,California,Pacific West Conference,II
Augustana University,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference,II
Augusta University,Augusta,Georgia,Peach Belt Conference,II
Auburn University at Montgomery,Montgomery,Alabama,Gulf South Conference,II
Assumption University,Worcester,Massachusetts,Northeast-10 Conference,II
Ashland University,Ashland,Ohio,Great Lakes Intercollegiate Athletic Conference,II
University of Arkansas at Monticello,Monticello,Arkansas,Great American Conference,II
University of Arkansas–Fort Smith,Fort Smith,Arkansas,Lone Star Conference,II
Arkansas Tech University,Russellville,Arkansas,Great American Conference,II
Angelo State University,San Angelo,Texas,Lone Star Conference,II
Anderson University,Anderson,South Carolina,South Atlantic Conference,II
American International College,Springfield,Massachusetts,Northeast-10 Conference,II
Alderson Broaddus University,Philippi,West Virginia,Mountain East Conference,II
Albany State University,Albany,Georgia,Southern Intercollegiate Athletic Conference,II
University of Alaska Anchorage,Anchorage,Alaska,Great Northwest Athletic Conference,II
University of Alaska Fairbanks,Fairbanks,Alaska,Great Northwest Athletic Conference,II
University of Alabama in Huntsville,Huntsville,Alabama,Gulf South Conference,II
Adelphi University,Garden City,New York,Northeast-10 Conference,II
Adams State University,Alamosa,Colorado,Rocky Mountain Athletic Conference,II
Academy of Art University,San Francisco,California,Pacific West Conference,II
Adrian College,Adrian,Michigan,Michigan Intercollegiate Athletic Association,III
Agnes Scott College,Decatur,Georgia,USA South Athletic Conference,III
Albertus Magnus College,New Haven,Connecticut,Great Northeast Athletic Conference,III
Albion College,Albion,Michigan,Michigan Intercollegiate Athletic Association,III
Albright College,Reading,Pennsylvania,MAC Commonwealth,III
Alfred University,Alfred,New York,Empire 8,III
Alfred State College,,,Allegheny Mountain Collegiate Conference,III
Allegheny College,Meadville,Pennsylvania,North Coast Athletic Conference,III
Alma College,Alma,Michigan,Michigan Intercollegiate Athletic Association,III
Alvernia University,Reading,Pennsylvania,MAC Commonwealth,III
Alverno College,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
Amherst College,Amherst,Massachusetts,New England Small College Athletic Conference,III
Anderson University,Anderson,Indiana,Heartland Collegiate Athletic Conference,III
Anna Maria College,Paxton,Massachusetts,Great Northeast Athletic Conference,III
Arcadia University,Glenside,Pennsylvania,MAC Freedom,III
Augsburg University,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Augustana College,Rock Island,Illinois,College Conference of Illinois and Wisconsin,III
Aurora University,Aurora,Illinois,Northern Athletics Collegiate Conference,III
Austin College,Sherman,Texas,Southern Collegiate Athletic Conference,III
Averett University,Danville,Virginia,USA South Athletic Conference,III
Babson College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,III
Baldwin Wallace University,Berea,Ohio,Ohio Athletic Conference,III
Bard College,Annandale-on-Hudson,New York,Liberty League,III
Baruch College,New York,New York,City University of New York Athletic Conference,III
Bates College,Lewiston,Maine,New England Small College Athletic Conference,III
Bay Path University,Longmeadow,Massachusetts,New England Collegiate Conference,III
Becker College,Worcester/Leicester,Massachusetts,New England Collegiate Conference,III
Belhaven University,Jackson,Mississippi,American Southwest Conference,III
Beloit College,Beloit,Wisconsin,Midwest Conference,III
Benedictine University,Lisle,Illinois,Northern Athletics Collegiate Conference,III
Berea College,Berea,Kentucky,USA South Athletic Conference,III
Berry College,Mount Berry,Georgia,Southern Athletic Association,III
Bethany College,Bethany,West Virginia,Presidents' Athletic Conference,III
Bethany Lutheran College,Mankato,Minnesota,Upper Midwest Athletic Conference,III
Bethel University,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Birmingham–Southern College,Birmingham,Alabama,Southern Athletic Association,III
Blackburn College,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference,III
Bluffton University,Bluffton,Ohio,Heartland Collegiate Athletic Conference,III
Bob Jones University[A 1],Greenville,South Carolina,Independent,III
Bowdoin College,Brunswick,Maine,New England Small College Athletic Conference,III
Brandeis University,Waltham,Massachusetts,University Athletic Association,III
Brevard College,Brevard,North Carolina,USA South Athletic Conference,III
Bridgewater College,Bridgewater,Virginia,Old Dominion Athletic Conference,III
Bridgewater State University,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Brooklyn College,Brooklyn,New York,City University of New York Athletic Conference,III
Bryn Athyn College,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference,III
Bryn Mawr College,Bryn Mawr,Pennsylvania,Centennial Conference,III
Buena Vista University,Storm Lake,Iowa,American Rivers Conference[2],III
Buffalo State College,Buffalo,New York,State University of New York Athletic Conference,III
Cabrini University,Radnor,Pennsylvania,Atlantic East Conference,III
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,III
California Institute of Technology,Pasadena,California,Southern California Intercollegiate Athletic Conference,III
California Lutheran University,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference,III
"University of California, Santa Cruz (UC Santa Cruz)",Santa Cruz,California,Coast to Coast Athletic Conference[A 2],III
Calvin University,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association,III
Capital University,Bexley,Ohio,Ohio Athletic Conference,III
Carleton College,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Carnegie Mellon University,Pittsburgh,Pennsylvania,University Athletic Association,III
Carroll University,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin,III
Carthage College,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin,III
Case Western Reserve University,Cleveland,Ohio,University Athletic Association,III
Castleton University,Castleton,Vermont,Little East Conference,III
Catholic University of America,Washington,District of Columbia,Landmark Conference,III
Cazenovia College,Cazenovia,New York,North Atlantic Conference,III
Cedar Crest College,Allentown,Pennsylvania,Colonial States Athletic Conference,III
Centenary College of Louisiana,Shreveport,Louisiana,Southern Collegiate Athletic Conference,III
Centenary College of New Jersey,Hackettstown,New Jersey,Colonial States Athletic Conference,III
Central College,Pella,Iowa,American Rivers Conference[2],III
Centre College,Danville,Kentucky,Southern Athletic Association,III
Chapman University,Orange,California,Southern California Intercollegiate Athletic Conference,III
Chatham University,Pittsburgh,Pennsylvania,Presidents' Athletic Conference,III
University of Chicago,Chicago,Illinois,University Athletic Association,III
Christopher Newport University,Newport News,Virginia,Coast to Coast Athletic Conference[A 2],III
City College of New York (CCNY),New York,New York,City University of New York Athletic Conference,III
Claremont–Mudd–Scripps[A 3],Claremont,California,Southern California Intercollegiate Athletic Conference,III
Clark University,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,III
Clarks Summit University,Clarks Summit,Pennsylvania,Colonial States Athletic Conference,III
Clarkson University[A 4][A 5],Potsdam,New York,Liberty League,III
Coe College,Cedar Rapids,Iowa,American Rivers Conference[2],III
Colby College,Waterville,Maine,New England Small College Athletic Conference,III
Colby–Sawyer College,New London,New Hampshire,Great Northeast Athletic Conference,III
Colorado College[A 4][A 6],Colorado Springs,Colorado,Southern Collegiate Athletic Conference,III
Concordia College,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Concordia University Chicago,River Forest,Illinois,Northern Athletics Collegiate Conference,III
Concordia University Texas,Austin,Texas,American Southwest Conference,III
Concordia University Wisconsin,Mequon,Wisconsin,Northern Athletics Collegiate Conference,III
Connecticut College,New London,Connecticut,New England Small College Athletic Conference,III
Cornell College,Mount Vernon,Iowa,Midwest Conference,III
Covenant College,Lookout Mountain,Georgia,USA South Athletic Conference,III
Crown College,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,III
Curry College,Milton,Massachusetts,Commonwealth Coast Conference,III
University of Dallas,Irving,Texas,Southern Collegiate Athletic Conference,III
Dean College,Franklin,Massachusetts,Great Northeast Athletic Conference,III
Defiance College,Defiance,Ohio,Heartland Collegiate Athletic Conference,III
Delaware Valley University,Doylestown,Pennsylvania,MAC Freedom,III
Denison University,Granville,Ohio,North Coast Athletic Conference,III
DePauw University,Greencastle,Indiana,North Coast Athletic Conference,III
DeSales University,Center Valley,Pennsylvania,MAC Freedom,III
Dickinson College,Carlisle,Pennsylvania,Centennial Conference,III
Dominican University,River Forest,Illinois,Northern Athletics Collegiate Conference,III
Drew University,Madison,New Jersey,Landmark Conference,III
University of Dubuque,Dubuque,Iowa,American Rivers Conference[2],III
Earlham College,Richmond,Indiana,Heartland Collegiate Athletic Conference,III
East Texas Baptist University,Marshall,Texas,American Southwest Conference,III
Eastern Connecticut State University,Willimantic,Connecticut,Little East Conference,III
Eastern Mennonite University,Harrisonburg,Virginia,Old Dominion Athletic Conference,III
Eastern Nazarene College,Quincy,Massachusetts,New England Collegiate Conference,III
Eastern University,St. Davids,Pennsylvania,MAC Commonwealth,III
Edgewood College,Madison,Wisconsin,Northern Athletics Collegiate Conference,III
Elizabethtown College,Elizabethtown,Pennsylvania,Landmark Conference,III
Elmhurst College,Elmhurst,Illinois,College Conference of Illinois and Wisconsin,III
Elmira College,Elmira,New York,Empire 8,III
Elms College,Chicopee,Massachusetts,New England Collegiate Conference,III
Emerson College,Boston,Massachusetts,New England Women's and Men's Athletic Conference,III
Emmanuel College,Boston,Massachusetts,Great Northeast Athletic Conference,III
Emory University,Atlanta,Georgia,University Athletic Association,III
Emory and Henry College[A 7],Emory,Virginia,Old Dominion Athletic Conference,III
Endicott College,Beverly,Massachusetts,Commonwealth Coast Conference,III
Eureka College,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference,III
"Fairleigh Dickinson University, Florham",Madison/Florham Park,New Jersey,MAC Freedom,III
Farmingdale State College,Farmingdale,New York,Skyline Conference,III
Ferrum College,Ferrum,Virginia,Old Dominion Athletic Conference,III
Finlandia University,Hancock,Michigan,Coast to Coast Athletic Conference[A 2],III
Fitchburg State University,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Fontbonne University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,III
Framingham State University,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Franciscan University of Steubenville,Steubenville,Ohio,Presidents' Athletic Conference,III
Franklin & Marshall College[A 8],Lancaster,Pennsylvania,Centennial Conference,III
Franklin College,Franklin,Indiana,Heartland Collegiate Athletic Conference,III
Gallaudet University,Washington,District of Columbia,North Eastern Athletic Conference,III
Geneva College,Beaver Falls,Pennsylvania,Presidents' Athletic Conference,III
George Fox University,Newberg,Oregon,Northwest Conference,III
Gettysburg College,Gettysburg,Pennsylvania,Centennial Conference,III
Gordon College,Wenham,Massachusetts,Commonwealth Coast Conference,III
Goucher College,Towson,Maryland,Landmark Conference,III
Greensboro College,Greensboro,North Carolina,USA South Athletic Conference,III
Greenville University,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,III
Grinnell College,Grinnell,Iowa,Midwest Conference,III
Grove City College,Grove City,Pennsylvania,Presidents' Athletic Conference,III
Guilford College,Greensboro,North Carolina,Old Dominion Athletic Conference,III
Gustavus Adolphus College,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Gwynedd Mercy University,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference,III
Hamilton College,Clinton,New York,New England Small College Athletic Conference,III
Hamline University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Hampden–Sydney College,Hampden Sydney,Virginia,Old Dominion Athletic Conference,III
Hanover College,Hanover,Indiana,Heartland Collegiate Athletic Conference,III
Hardin–Simmons University,Abilene,Texas,American Southwest Conference,III
Hartwick College,Oneonta,New York,Empire 8,III
Haverford College,Haverford,Pennsylvania,Centennial Conference,III
Heidelberg University,Tiffin,Ohio,Ohio Athletic Conference,III
Hendrix College,Conway,Arkansas,Southern Athletic Association,III
Hilbert College,Hamburg,New York,Allegheny Mountain Collegiate Conference,III
Hiram College,Hiram,Ohio,North Coast Athletic Conference,III
Hobart College[A 9],Geneva,New York,Liberty League,III
Hollins University,Roanoke,Virginia,Old Dominion Athletic Conference,III
Hood College,Frederick,Maryland,MAC Commonwealth,III
Hope College,Holland,Michigan,Michigan Intercollegiate Athletic Association,III
Houghton College,Houghton,New York,Empire 8,III
Howard Payne University,Brownwood,Texas,American Southwest Conference,III
Hunter College,New York,New York,City University of New York Athletic Conference,III
Huntingdon College,Montgomery,Alabama,USA South Athletic Conference,III
Husson University,Bangor,Maine,North Atlantic Conference,III
Illinois College,Jacksonville,Illinois,Midwest Conference,III
Illinois Institute of Technology,Chicago,Illinois,Northern Athletics Collegiate Conference,III
Illinois Wesleyan University,Bloomington,Illinois,College Conference of Illinois and Wisconsin,III
Immaculata University,Immaculata,Pennsylvania,Atlantic East Conference,III
Iowa Wesleyan University[A 10],Mount Pleasant,Iowa,St. Louis Intercollegiate Athletic Conference,III
Ithaca College,Ithaca,New York,Liberty League,III
John Carroll University,University Heights,Ohio,Ohio Athletic Conference,III
John Jay College of Criminal Justice,New York,New York,City University of New York Athletic Conference,III
Johns Hopkins University[A 11],Baltimore,Maryland,Centennial Conference,III
Johnson & Wales University,Providence,Rhode Island,Great Northeast Athletic Conference,III
Juniata College,Huntingdon,Pennsylvania,Landmark Conference,III
Kalamazoo College,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association,III
Kean University,Union Township,New Jersey,New Jersey Athletic Conference,III
Keene State College,Keene,New Hampshire,Little East Conference,III
Kenyon College,Gambier,Ohio,North Coast Athletic Conference,III
Keuka College,Keuka Park,New York,Empire 8,III
Keystone College,La Plume Township,Pennsylvania,Colonial States Athletic Conference,III
King's College,Wilkes-Barre,Pennsylvania,MAC Freedom,III
Knox College,Galesburg,Illinois,Midwest Conference,III
La Roche College,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference,III
University of La Verne,La Verne,California,Southern California Intercollegiate Athletic Conference,III
LaGrange College,LaGrange,Georgia,USA South Athletic Conference,III
Lake Forest College,Lake Forest,Illinois,Midwest Conference,III
Lakeland University,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,III
Lancaster Bible College,Lancaster,Pennsylvania,North Eastern Athletic Conference,III
Lasell College,Newton,Massachusetts,Great Northeast Athletic Conference,III
Lawrence University,Appleton,Wisconsin,Midwest Conference,III
Lebanon Valley College,Annville,Pennsylvania,MAC Commonwealth,III
Lehman College,The Bronx,New York,City University of New York Athletic Conference,III
Lesley University,Boston,Massachusetts,New England Collegiate Conference,III
