School,City,State,Conference,Division
Georgia Southern University,Statesboro,Georgia,Sun Belt Conference,I
Georgia State University,Atlanta,Georgia,Sun Belt Conference,I
Gonzaga University,Spokane,Washington,West Coast Conference,I
Grambling State University,Grambling,Louisiana,Southwestern Athletic Conference,I
Grand Canyon University,Phoenix,Arizona,Western Athletic Conference,I
Hampton University,Hampton,Virginia,Big South Conference,I
University of Hartford,West Hartford,Connecticut,America East Conference,I
Harvard University,Cambridge[A 12],Massachusetts,Ivy League,I
University of Hawaii at Manoa,Honolulu,Hawaii,Big West Conference[g],I
High Point University,High Point,North Carolina,Big South Conference,I
Hofstra University,Hempstead,New York,Colonial Athletic Association,I
College of the Holy Cross,Worcester,Massachusetts,Patriot League,I
University of Houston,Houston,Texas,American Athletic Conference,I
Houston Baptist University,Houston,Texas,Southland Conference,I
Howard University,Washington,District of Columbia,Mid-Eastern Athletic Conference,I
University of Idaho,Moscow,Idaho,Big Sky Conference,I
Idaho State University,Pocatello,Idaho,Big Sky Conference,I
University of Illinois at Chicago,Chicago,Illinois,Horizon League,I
Illinois State University,Normal,Illinois,Missouri Valley Conference[h],I
University of Illinois at Urbana–Champaign,Urbana–Champaign,Illinois,Big Ten Conference,I
University of the Incarnate Word,San Antonio,Texas,Southland Conference,I
Indiana University,Bloomington,Indiana,Big Ten Conference,I
Indiana State University,Terre Haute,Indiana,Missouri Valley Conference[h],I
Indiana University – Purdue University Indianapolis,Indianapolis,Indiana,Horizon League,I
Iona College,New Rochelle,New York,Metro Atlantic Athletic Conference,I
University of Iowa,Iowa City,Iowa,Big Ten Conference,I
Iowa State University,Ames,Iowa,Big 12 Conference,I
Jackson State University,Jackson,Mississippi,Southwestern Athletic Conference,I
Jacksonville University,Jacksonville,Florida,Atlantic Sun Conference[i],I
Jacksonville State University,Jacksonville,Alabama,Ohio Valley Conference,I
James Madison University,Harrisonburg,Virginia,Colonial Athletic Association,I
University of Kansas,Lawrence,Kansas,Big 12 Conference,I
Kansas State University,Manhattan,Kansas,Big 12 Conference,I
Kennesaw State University,Kennesaw,Georgia,Atlantic Sun Conference[j],I
Kent State University,Kent,Ohio,Mid-American Conference,I
University of Kentucky,Lexington,Kentucky,Southeastern Conference,I
La Salle University,Philadelphia,Pennsylvania,Atlantic 10 Conference,I
Lafayette College,Easton,Pennsylvania,Patriot League,I
Lamar University,Beaumont,Texas,Southland Conference[a],I
Lehigh University,Bethlehem,Pennsylvania,Patriot League,I
Liberty University,Lynchburg,Virginia,Atlantic Sun Conference[k],I
Lipscomb University,Nashville,Tennessee,Atlantic Sun Conference,I
Long Island University,Brooklyn,New York,Northeast Conference,I
Longwood University,Farmville,Virginia,Big South Conference,I
University of Louisiana at Lafayette,Lafayette,Louisiana,Sun Belt Conference,I
University of Louisiana at Monroe,Monroe,Louisiana,Sun Belt Conference,I
Louisiana State University,Baton Rouge,Louisiana,Southeastern Conference,I
Louisiana Tech University,Ruston,Louisiana,Conference USA,I
University of Louisville,Louisville,Kentucky,Atlantic Coast Conference,I
